n,ev,pf,wr,totalR,maxDD,annual_freq,ytd2026,pos_years,recent_pf,recent_ev,old_pf,old_ev,day_policy,combo,windows,distance260,quality
4977,0.03626439097774897,1.0924162946639258,0.4715692184046614,180.48787389625664,43.3094792279495,341.57142857142856,195,11,1.1931123127999457,0.07307556611324674,1.0888596049120856,0.03405581286374792,MonThu,LON_OPEN+LON_H1+NY_OPEN+NY_H1+NY_H2,5,81.57142857142856,True
4967,0.02340642713739232,1.0600094041607553,0.469700020132877,116.25972359142766,38.899301574641164,341.7857142857143,182,9,1.0904699970608447,0.03494734802057189,1.0487361071394525,0.018615760727777764,MonFri,LON_OPEN+LON_H3+NY_H1+NY_H2,4,81.78571428571428,True
4987,-0.014931702786984347,0.9621706017531129,0.4583918187286946,-74.46440179869094,104.85862050874836,342.07142857142856,198,5,0.9641656126703545,-0.014299996053386518,0.9840308600979705,-0.006150772703766942,MonThu,LON_H2+LON_H3+NY_OPEN+NY_H1+NY_H2,5,82.07142857142856,False
4986,0.021476240034913475,1.0541396761359156,0.46831127156036906,107.0805328140786,42.465906985598025,342.2857142857143,194,8,1.10772245158517,0.04201413621543441,1.0635265306522044,0.0245803952949235,MonThu,LON_OPEN+LON_H2+NY_OPEN+NY_H1+NY_H2,5,82.28571428571428,True
2592,0.003233100872148134,1.0084116981456357,0.4722222222222222,8.380197460607963,44.62618414828036,177.5,107,8,0.8854570170077372,-0.046704269513023255,1.0880898890219304,0.03216009756770993,MonFri,NY_OPEN+NY_H1,2,82.5,False
5009,0.016324879527974703,1.0417548980698133,0.469155520063885,81.77132155562529,47.216885643607675,343.7857142857143,196,8,1.0916508403733005,0.035140100070647835,1.0432006139931558,0.016479431011349452,MonThu,LON_OPEN+LON_H3+NY_OPEN+NY_H1+NY_H2,5,83.78571428571428,True
5011,0.022858131535941302,1.0568095243162563,0.4703651965675514,114.54209712660186,51.70080547147553,344.7142857142857,185,10,1.086493295231246,0.034312447931252335,1.0872308567463864,0.03418853668558962,MonFri,LON_OPEN+LON_H3+NY_OPEN+NY_H2,4,84.71428571428572,True
2527,-0.01089509030475458,0.9707041324629165,0.46181242580134546,-27.531893200114826,59.549097383950055,173.92857142857142,92,8,1.0113092822071788,0.004190712108039004,0.9702145241492446,-0.01080116796181491,MonFri,LON_H3+NY_H2,2,86.07142857142858,False
2516,0.05185138015619828,1.1346940786470583,0.4769475357710652,130.45807247299487,37.050962844376926,173.21428571428572,91,11,1.304278531382134,0.10973752727529233,1.1229188070131344,0.04606958690353173,MonFri,LON_OPEN+NY_H2,2,86.78571428571428,True
5062,0.013318790813419334,1.0350299545630617,0.4674041880679573,67.41971909752867,34.280312026479635,346.92857142857144,205,7,1.043695502121523,0.01674846010014663,1.0626333902792577,0.022988119530937816,MonFri,LON_H1+NY_OPEN+NY_H1+NY_H2,4,86.92857142857144,True
5068,-0.005498612275861181,0.985801863557855,0.462707182320442,-27.866967014064464,64.30430854002984,347.5,203,8,0.9599592993454227,-0.015900167595819158,1.0191334342930563,0.007160115437811235,MonFri,LON_H2+NY_OPEN+NY_H1+NY_H2,4,87.5,False
2495,-0.006379148435428065,0.9848086116322605,0.46372745490981965,-15.915975346393022,56.21781460797746,171.5,94,5,0.9039341051721523,-0.04159612551114687,1.0564218515530581,0.023022136104816945,MonFri,LON_H3+NY_OPEN,2,88.5,False
2484,0.0571956482796766,1.1319825364470237,0.47906602254428343,142.07399032671668,26.715437888920448,170.78571428571428,93,13,1.1560243497596743,0.0662177075861033,1.1933288066634253,0.08176138226968722,MonFri,LON_OPEN+NY_OPEN,2,89.21428571428572,True
2476,-0.014639404068930701,0.9624951056118777,0.4527463651050081,-36.24716447467242,63.63713748725374,170.0,96,7,1.0412779503129879,0.015937362256671785,0.9497671744308943,-0.019283634657036017,MonFri,LON_H2+NY_H2,2,90.0,False
2470,0.023902640338834293,1.063594450628286,0.46234817813765183,59.0395216369207,42.84617147207923,169.42857142857142,98,8,1.227662718172765,0.08157707798298983,1.0356726146005053,0.013167047663871072,MonFri,LON_H1+NY_H2,2,90.57142857142858,True
5108,0.027180554019890918,1.0706625828870924,0.4745497259201253,138.83826993360282,32.2600224239697,350.7142857142857,198,11,1.0799292467126156,0.03072751515206358,1.1047965117702743,0.038741044452561275,MonFri,LON_OPEN+NY_OPEN+NY_H1+NY_H2,4,90.71428571428572,True
2451,-0.005792880000639415,0.985344509675208,0.46226030191758466,-14.198348881567206,44.67742537060363,168.57142857142858,91,8,0.8996288195182776,-0.0413989337934145,0.9792526965866247,-0.008069529100909996,MonFri,LON_H3+NY_H1,2,91.42857142857142,False
5119,-0.0037412962960552583,0.9901078135554098,0.4670834147294393,-19.151695739506867,57.47858005932609,351.42857142857144,199,8,0.9455327463841482,-0.021193397654396155,1.0307817128946468,0.011201069572069776,MonFri,LON_H3+NY_OPEN+NY_H1+NY_H2,4,91.42857142857144,False
2440,0.05893099048833708,1.1441417658757027,0.4778688524590164,143.79161679154248,19.049444421799052,167.85714285714286,90,13,1.1686619688977296,0.06800354549665866,1.1261346117561737,0.050852824729761124,MonFri,LON_OPEN+NY_H1,2,92.14285714285714,True
2444,-0.010078251481567355,0.977073873197885,0.45458265139116205,-24.631246620950616,59.81477880701026,167.57142857142858,98,7,0.9307074734574765,-0.031289393862327104,1.03450348963292,0.014821611006146753,MonFri,LON_H2+NY_OPEN,2,92.42857142857142,False
2438,0.02898090217007485,1.0681814757509007,0.4643150123051682,70.65543949064248,25.547119464002467,167.0,100,10,1.0878305476983292,0.037072368897230666,1.1145679855066313,0.04759122062868521,MonFri,LON_H1+NY_OPEN,2,93.0,True
2400,-0.009547341731718657,0.9769824510756424,0.4529166666666667,-22.91362015612478,52.358835894519046,164.64285714285714,95,5,0.9281448586319686,-0.03093078157670706,0.9591394771233412,-0.016796496014939724,MonFri,LON_H2+NY_H1,2,95.35714285714286,False
2394,0.03023102170236772,1.0755937165556344,0.4628237259816207,72.37306595546832,20.969887767257237,164.07142857142858,97,8,1.095884521145636,0.03843198636972846,1.042194093042367,0.016715949410022787,MonFri,LON_H1+NY_H1,2,95.92857142857142,True
2343,0.051001043100529865,1.113912274651582,0.46905676483141273,119.49544398454148,35.17668454234112,161.85714285714286,77,10,1.1785217949173463,0.07678543620636594,1.0907193226269636,0.04127569958899415,MonFri,LON_OPEN+LON_H3,2,98.14285714285714,True
