dt,day,R,R_comm,R_stress,setup,priority
2013-10-15 08:00:00+00:00,2013-10-15,0.3,0.2812662560360176,0.27189938405402647,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2013-10-17 07:00:00+00:00,2013-10-17,1.1721504325730085,1.1628105884887616,1.158140666446638,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-10-23 06:00:00+00:00,2013-10-23,-1.0,-1.0138509103504714,-1.0207763655257072,BASE,0
2013-10-24 06:00:00+00:00,2013-10-24,1.5,1.4844929724447486,1.4767394586671228,BASE,0
2013-10-28 08:00:00+00:00,2013-10-28,0.9159831366626731,0.9001219568070425,0.8921913668792274,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-10-29 08:00:00+00:00,2013-10-29,-1.0,-1.0143320198515196,-1.021498029777279,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-10-30 08:00:00+00:00,2013-10-30,-1.0,-1.013469900883847,-1.0202048513257704,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-10-31 09:00:00+00:00,2013-10-31,0.3,0.2877931005203029,0.2816896507804544,LON_H2|RANGE_DI_CONT_G5|2.0|0.3,2
2013-11-05 07:00:00+00:00,2013-11-05,1.5,1.4852216801857003,1.4778325202785503,BASE,0
2013-11-18 08:00:00+00:00,2013-11-18,-0.05004467985346267,-0.0643431598115919,-0.07149239979065652,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-11-19 07:00:00+00:00,2013-11-19,-1.0,-1.015982903652698,-1.023974355479047,BASE,0
2013-11-21 07:00:00+00:00,2013-11-21,-1.0,-1.01037727616391,-1.015565914245865,BASE,0
2013-11-26 07:00:00+00:00,2013-11-26,-1.0,-1.0157320868383497,-1.0235981302575243,BASE,0
2013-11-27 07:00:00+00:00,2013-11-27,0.6,0.5882445985930694,0.5823668978896042,BASE,0
2013-11-28 08:00:00+00:00,2013-11-28,-0.195372205644538,-0.20958109332777583,-0.21668553716939473,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-12-05 07:00:00+00:00,2013-12-05,1.5,1.488781033579334,1.4831715503690006,BASE,0
2013-12-09 08:00:00+00:00,2013-12-09,0.7563579155763963,0.7418821659959863,0.7346442912057813,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-12-17 08:00:00+00:00,2013-12-17,1.5,1.483263831525802,1.474895747288703,LON_H1|RISE_CANDLE|2.25|1.5,1
2013-12-18 07:00:00+00:00,2013-12-18,1.5,1.4805461743280057,1.4708192614920086,BASE,0
2013-12-19 07:00:00+00:00,2013-12-19,0.3583895492564247,0.35005490857604354,0.3458875882358529,BASE,0
